,date,hour,exercise,Serie 1,Serie 2,Serie 3,Serie 4,Serie 5,Serie 6,Serie 7,Serie 8,Datetime
44,2024-01-08,7:38 p. m.,Press m,"{'weight': '60 lb', 'reps': '13'}","{'weight': '60 lb', 'reps': '16'}","{'weight': '60 lb', 'reps': '20'}","{'weight': '60 lb', 'reps': '21'}",,,,,2024-01-08
45,2024-01-08,8:14 p. m.,Peso muerto,"{'weight': '40 lb', 'reps': '13'}","{'weight': '40 lb', 'reps': '12'}","{'weight': '40 lb', 'reps': '12'}","{'weight': '40 lb', 'reps': '10'}",,,,,2024-01-08
46,2024-01-15,7:35 p. m.,Sentadilla m,"{'weight': '30 lb', 'reps': '16'}","{'weight': '40 lb', 'reps': '13'}","{'weight': '40 lb', 'reps': '12'}","{'weight': '40 lb', 'reps': '13'}","{'weight': '40 lb', 'reps': '13'}",,,,2024-01-15
47,2024-01-15,7:50 p. m.,Press m,"{'weight': '70 lb', 'reps': '16'}","{'weight': '70 lb', 'reps': '17'}","{'weight': '70 lb', 'reps': '21'}",,,,,,2024-01-15
48,2024-01-15,8:23 p. m.,Peso muerto,"{'weight': '40 lb', 'reps': '12'}","{'weight': '40 lb', 'reps': '12'}","{'weight': '40 lb', 'reps': '11'}","{'weight': '40 lb', 'reps': '11'}",,,,,2024-01-15
49,2024-01-16,7:43 p. m.,Press hombro,"{'weight': '20 lb', 'reps': '14'}","{'weight': '20 lb', 'reps': '13'}","{'weight': '20 lb', 'reps': '14'}","{'weight': '20 lb', 'reps': '13'}",,,,,2024-01-16
50,2024-01-16,8:05 p. m.,Laterales,"{'weight': '15 lb', 'reps': '12'}","{'weight': '15 lb', 'reps': '14'}","{'weight': '15 lb', 'reps': '14'}","{'weight': '15 lb', 'reps': '13'}",,,,,2024-01-16
51,2024-01-16,8:16 p. m.,Frontal,"{'weight': '15 lb', 'reps': '11'}","{'weight': '15 lb', 'reps': '10'}","{'weight': '15 lb', 'reps': '8'}",,,,,,2024-01-16
52,2024-01-16,8:29 p. m.,Curl bicep,"{'weight': '20 lb', 'reps': '12'}","{'weight': '20 lb', 'reps': '13'}","{'weight': '20 lb', 'reps': '10'}",,,,,,2024-01-16
53,2024-01-16,8:42 p. m.,Curl bicep ,"{'weight': '20 lb', 'reps': '12'}","{'weight': '20 lb', 'reps': '11'}","{'weight': '20 lb', 'reps': '12'}",,,,,,2024-01-16
54,2024-01-17,7:50 p. m.,Bench press,"{'weight': '20 lb', 'reps': '17'}","{'weight': '30 lb', 'reps': '14'}","{'weight': '40 lb', 'reps': '12'}","{'weight': '40 lb', 'reps': '13'}","{'weight': '40 lb', 'reps': '10'}",,,,2024-01-17
55,2024-01-17,8:04 p. m.,Bench press mancuerna,"{'weight': '20 lb', 'reps': '14'}","{'weight': '20 lb', 'reps': '14'}","{'weight': '20 lb', 'reps': '16'}",,,,,,2024-01-17
56,2024-01-17,8:29 p. m.,Bench press inclinado,"{'weight': '20 lb', 'reps': '14'}","{'weight': '30 lb', 'reps': '10'}","{'weight': '30 lb', 'reps': '12'}","{'weight': '30 lb', 'reps': '11'}",,,,,2024-01-17
57,2024-01-17,8:51 p. m.,Bench press inclinado mancuerna,"{'weight': '15 lb', 'reps': '14'}","{'weight': '15 lb', 'reps': '14'}","{'weight': '15 lb', 'reps': '12'}",,,,,,2024-01-17
58,2024-01-17,9:06 p. m.,Tricep pushdowns,"{'weight': '3 barra', 'reps': '14'}","{'weight': '4 barra', 'reps': '13'}","{'weight': '4 barra', 'reps': '12'}","{'weight': '4 barra', 'reps': '11'}",,,,,2024-01-17
59,2024-01-22,7:54 p. m.,Sentadilla m,"{'weight': '40 lb', 'reps': '14'}","{'weight': '40 lb', 'reps': '14'}","{'weight': '40 lb', 'reps': '14'}","{'weight': '40 lb', 'reps': '15'}",,,,,2024-01-22
60,2024-01-22,8:11 p. m.,Press m,"{'weight': '70 lb', 'reps': '19'}","{'weight': '70 lb', 'reps': '19'}","{'weight': '70 lb', 'reps': '20'}","{'weight': '70 lb', 'reps': '21'}",,,,,2024-01-22
61,2024-01-22,8:49 p. m.,Peso muerto,"{'weight': '40 lb', 'reps': '15'}","{'weight': '40 lb', 'reps': '14'}","{'weight': '40 lb', 'reps': '13'}","{'weight': '40 lb', 'reps': '13'}",,,,,2024-01-22
62,2024-01-25,8:42 p. m.,Press hombro,"{'weight': '20 lb', 'reps': '14'}","{'weight': '20 lb', 'reps': '13'}","{'weight': '20 lb', 'reps': '16'}","{'weight': '20 lb', 'reps': '14'}",,,,,2024-01-25
63,2024-01-25,8:54 p. m.,Laterales,"{'weight': '15 lb', 'reps': '10'}","{'weight': '15 lb', 'reps': '11'}","{'weight': '15 lb', 'reps': '12'}","{'weight': '15 lb', 'reps': '14'}",,,,,2024-01-25
64,2024-01-25,9:13 p. m.,Frontal,"{'weight': '15 lb', 'reps': '12'}","{'weight': '15 lb', 'reps': '13'}","{'weight': '15 lb', 'reps': '13'}","{'weight': '15 lb', 'reps': '13'}",,,,,2024-01-25
